time_iso8601,forks_cumulative
2024-11-23 00:00:00+00:00,41943
2024-11-24 00:00:00+00:00,41951
2024-11-25 00:00:00+00:00,41965
2024-11-26 00:00:00+00:00,41975
2024-11-27 00:00:00+00:00,41985
2024-11-28 00:00:00+00:00,41995
2024-11-29 00:00:00+00:00,42001
2024-11-30 00:00:00+00:00,42006
2024-12-01 00:00:00+00:00,42015
2024-12-02 00:00:00+00:00,42022
2024-12-03 00:00:00+00:00,42041
2024-12-04 00:00:00+00:00,42056
2024-12-05 00:00:00+00:00,42070
2024-12-06 00:00:00+00:00,42082
2024-12-07 00:00:00+00:00,42088
2024-12-08 00:00:00+00:00,42099
2024-12-09 00:00:00+00:00,42114
2024-12-10 00:00:00+00:00,42123
2024-12-11 00:00:00+00:00,42133
2024-12-12 00:00:00+00:00,42142
2024-12-13 00:00:00+00:00,42151
2024-12-14 00:00:00+00:00,42166
2024-12-15 00:00:00+00:00,42177
2024-12-16 00:00:00+00:00,42186
2024-12-17 00:00:00+00:00,42202
2024-12-18 00:00:00+00:00,42214
2024-12-19 00:00:00+00:00,42226
2024-12-20 00:00:00+00:00,42237
2024-12-21 00:00:00+00:00,42242
2024-12-22 00:00:00+00:00,42254
2024-12-23 00:00:00+00:00,42272
2024-12-24 00:00:00+00:00,42297
2024-12-25 00:00:00+00:00,42318
2024-12-26 00:00:00+00:00,42335
2024-12-27 00:00:00+00:00,42351
2024-12-28 00:00:00+00:00,42368
2024-12-29 00:00:00+00:00,42379
2024-12-30 00:00:00+00:00,42386
2024-12-31 00:00:00+00:00,42398
2025-01-01 00:00:00+00:00,42402
2025-01-02 00:00:00+00:00,42419
2025-01-03 00:00:00+00:00,42437
2025-01-04 00:00:00+00:00,42446
2025-01-05 00:00:00+00:00,42459
2025-01-06 00:00:00+00:00,42478
2025-01-07 00:00:00+00:00,42494
2025-01-08 00:00:00+00:00,42503
2025-01-09 00:00:00+00:00,42521
2025-01-10 00:00:00+00:00,42536
2025-01-11 00:00:00+00:00,42547
2025-01-12 00:00:00+00:00,42559
2025-01-13 00:00:00+00:00,42574
2025-01-14 00:00:00+00:00,42607
2025-01-15 00:00:00+00:00,42619
2025-01-16 00:00:00+00:00,42639
2025-01-17 00:00:00+00:00,42650
2025-01-18 00:00:00+00:00,42663
2025-01-19 00:00:00+00:00,42671
2025-01-20 00:00:00+00:00,42688
2025-01-21 00:00:00+00:00,42702
2025-01-22 00:00:00+00:00,42716
2025-01-23 00:00:00+00:00,42730
2025-01-24 00:00:00+00:00,42741
2025-01-25 00:00:00+00:00,42750
2025-01-26 00:00:00+00:00,42760
2025-01-27 00:00:00+00:00,42771
2025-01-28 00:00:00+00:00,42783
2025-01-29 00:00:00+00:00,42794
2025-01-30 00:00:00+00:00,42804
2025-01-31 00:00:00+00:00,42814
2025-02-01 00:00:00+00:00,42823
2025-02-02 00:00:00+00:00,42834
2025-02-03 00:00:00+00:00,42843
2025-02-04 00:00:00+00:00,42858
2025-02-05 00:00:00+00:00,42872
2025-02-06 00:00:00+00:00,42887
2025-02-07 00:00:00+00:00,42906
2025-02-08 00:00:00+00:00,42924
2025-02-09 00:00:00+00:00,42939
2025-02-10 00:00:00+00:00,42958
2025-02-11 00:00:00+00:00,42970
